"Data";"Ocorrência";"Freqüência";"Tensão R";"Corrente R";"Fat Pot R";"Tensão S";"Corrente S";"Fat Pot S";"Tensão T";"Corrente T";"Fat Pot T"
"10/03/2020 08:08:00";"26";"59,8";"210,48";"72,35";"0,98";"210,28";"64,8";"1";"208,53";"78,5";"0,96"
"10/03/2020 08:08:05";"01";"59,8";"208,62";"95,05";"0,97";"209,14";"80,4";"1";"206,64";"100,3";"0,96"
"10/03/2020 08:08:10";"01";"60";"208,59";"94,95";"0,98";"209,17";"80,3";"1";"206,64";"100,3";"0,96"
"10/03/2020 08:08:15";"01";"60";"208,75";"92,65";"0,98";"209,35";"77,75";"1";"206,92";"97,2";"0,96"
"10/03/2020 08:08:20";"01";"59,8";"208,81";"92,1";"0,98";"209,5";"77,05";"1";"207,06";"96,2";"0,96"
"10/03/2020 08:08:25";"01";"59,8";"208,89";"92,05";"0,98";"209,62";"77,05";"1";"207,14";"96";"0,96"
"10/03/2020 08:08:30";"01";"60";"208,84";"92,05";"0,98";"209,67";"77,05";"1";"207,17";"96,05";"0,96"
"10/03/2020 08:08:35";"01";"60";"208,67";"92,1";"0,98";"209,56";"77,2";"1";"207,07";"96";"0,96"
"10/03/2020 08:08:40";"01";"60";"208,67";"91,8";"0,98";"209,5";"77,25";"1";"206,92";"96,2";"0,96"
"10/03/2020 08:08:45";"01";"60";"208,6";"91,85";"0,98";"209,35";"77,3";"1";"206,85";"96,15";"0,96"
"10/03/2020 08:08:51";"01";"59,8";"208,57";"92,05";"0,98";"209,21";"77,3";"1";"206,78";"96,3";"0,96"
"10/03/2020 08:08:55";"01";"59,8";"208,21";"94";"1";"209,25";"77,3";"1";"206,56";"96,05";"0,96"
"10/03/2020 08:09:01";"01";"59,8";"208,03";"94,95";"1";"209,17";"77,3";"1";"206,39";"96,15";"0,96"
"10/03/2020 08:09:05";"01";"59,8";"207,98";"95";"1";"209,14";"77,3";"1";"206,32";"96,1";"0,96"
"10/03/2020 08:09:10";"01";"59,8";"208,23";"92,4";"1";"209";"77,3";"1";"206,21";"95,95";"0,96"
"10/03/2020 08:09:15";"01";"59,8";"208,73";"88,8";"1";"208,96";"77,15";"1";"206,28";"95,85";"0,96"
"10/03/2020 08:09:20";"01";"59,8";"208,28";"91,6";"1";"208,98";"77,3";"1";"206,32";"95,9";"0,96"
"10/03/2020 08:09:25";"01";"59,8";"208,25";"92,4";"1";"209,03";"77,3";"1";"206,39";"95,9";"0,96"
"10/03/2020 08:09:30";"01";"60";"208,21";"92,35";"1";"209,03";"77,15";"1";"206,37";"95,9";"0,96"
"10/03/2020 08:09:35";"01";"60";"208,23";"92,4";"1";"209,03";"77,15";"1";"206,39";"95,85";"0,96"
"10/03/2020 08:09:40";"01";"60";"208,14";"92,35";"1";"209";"77,05";"1";"206,53";"95,85";"0,96"
"10/03/2020 08:09:45";"01";"59,8";"208,39";"92,45";"1";"209,14";"77,05";"1";"206,67";"96,1";"0,96"
"10/03/2020 08:09:50";"01";"59,8";"209,1";"91,65";"0,98";"209,81";"76,85";"1";"207,25";"95,95";"0,96"
"10/03/2020 08:09:55";"01";"59,8";"209,1";"91,5";"1";"209,84";"76,85";"1";"207,25";"96";"0,96"
"10/03/2020 08:10:00";"01";"59,8";"209,1";"91,45";"1";"209,75";"76,95";"1";"207,2";"96";"0,96"
"10/03/2020 08:10:05";"01";"60";"209,12";"91,5";"1";"209,87";"76,7";"1";"207,25";"96,1";"0,96"
"10/03/2020 08:10:10";"01";"59,8";"209,03";"91,5";"1";"209,92";"74,75";"1";"207,03";"96";"0,96"
"10/03/2020 08:10:15";"01";"59,8";"209,14";"91,5";"1";"210,03";"74,65";"1";"207,12";"96,1";"0,96"
"10/03/2020 08:10:20";"01";"59,8";"209,06";"91,65";"1";"210,09";"74,6";"1";"207,1";"96";"0,96"
"10/03/2020 08:10:25";"01";"59,3";"209";"92,25";"0,98";"210,03";"74,95";"1";"207,09";"96,6";"0,96"
