"Data";"Ocorrência";"Freqüência";"Tensão R";"Corrente R";"Fat Pot R";"Tensão S";"Corrente S";"Fat Pot S";"Tensão T";"Corrente T";"Fat Pot T"
"11/03/2020 07:54:14";"26";"60";"211,03";"16,5";"1";"210,03";"11";"0,84";"208,23";"17,65";"-0,22"
"11/03/2020 07:54:17";"66";"60";"212,07";"21,45";"1";"211,48";"19,9";"0,84";"209,09";"18,3";"-0,22"
"11/03/2020 07:54:50";"01";"59,8";"211,75";"21,45";"1";"211,25";"20,2";"0,81";"209,17";"18,4";"-0,22"
"11/03/2020 07:54:55";"01";"60";"212,25";"21,8";"1";"210,7";"20,55";"0,81";"209,37";"18,5";"-0,22"
"11/03/2020 07:55:00";"01";"60";"212,25";"21,8";"1";"210,62";"20,52";"0,81";"209,37";"18,47";"-0,22"
"11/03/2020 07:55:05";"01";"60";"212,17";"21,75";"1";"210,48";"20,57";"0,81";"209,37";"18,45";"-0,22"
"11/03/2020 07:55:10";"01";"59,8";"212,17";"21,75";"1";"210,35";"20,57";"0,81";"209,25";"18,42";"-0,22"
"11/03/2020 07:55:15";"01";"59,8";"212,14";"21,7";"1";"210,64";"20,55";"0,81";"209,32";"18,4";"-0,22"
"11/03/2020 07:55:20";"01";"59,8";"212,07";"21,6";"1";"210,98";"20,52";"0,81";"209,34";"18,4";"-0,22"
"11/03/2020 07:55:25";"01";"59,8";"211,57";"23,85";"1";"210,82";"20,47";"0,81";"209,31";"18,4";"-0,21"
"11/03/2020 07:55:30";"01";"59,8";"211,37";"25,25";"1";"210,85";"20,45";"0,82";"209,42";"18,37";"-0,22"
"11/03/2020 07:55:35";"01";"60";"211,35";"25,32";"1";"210,96";"20,42";"0,82";"209,5";"18,35";"-0,22"
"11/03/2020 07:55:40";"01";"60";"211,37";"26,07";"0,97";"210,89";"21,55";"0,83";"209,45";"19,02";"-0,18"
"11/03/2020 07:55:45";"01";"59,8";"211,32";"29,25";"0,98";"210,53";"26,72";"0,82";"208,96";"22,25";"-0,16"
"11/03/2020 07:55:50";"01";"60";"211,25";"29";"0,98";"210,42";"26,55";"0,83";"209,17";"22,15";"-0,16"
"11/03/2020 07:55:55";"01";"60";"211,28";"28,42";"0,97";"210,48";"25,82";"0,82";"209,03";"21,77";"-0,15"
"11/03/2020 07:56:00";"01";"59,8";"211,32";"27,92";"0,97";"210,45";"24,97";"0,83";"209";"21,4";"-0,15"
"11/03/2020 07:56:05";"01";"59,8";"211,25";"27,87";"0,97";"210,35";"24,77";"0,83";"208,92";"21,37";"-0,15"
"11/03/2020 07:56:10";"01";"60";"211,25";"27,82";"0,97";"210,28";"24,72";"0,83";"208,95";"21,32";"-0,15"
"11/03/2020 07:56:15";"01";"59,8";"211,5";"24,75";"1";"210,67";"20,72";"0,78";"208,87";"16,9";"-0,19"
"11/03/2020 07:56:19";"15";"59,8";"211,92";"22,22";"1";"211,25";"17,42";"0,78";"209,28";"13,3";"-0,19"
"11/03/2020 07:56:20";"01";"59,8";"211,89";"22,2";"1";"211,2";"17,45";"0,78";"209,17";"13,3";"-0,19"
"11/03/2020 07:56:25";"01";"59,8";"212,06";"22,22";"1";"211,39";"17,47";"0,78";"209,35";"13,27";"-0,19"
"11/03/2020 07:56:30";"01";"59,8";"211,95";"22,22";"1";"211,28";"17,45";"0,78";"209,28";"13,27";"-0,19"
"11/03/2020 07:56:35";"01";"60";"211,71";"22,2";"1";"211,46";"17,45";"0,78";"209,37";"13,27";"-0,19"
"11/03/2020 07:56:40";"01";"60";"211,35";"22,17";"1";"210,87";"17,5";"0,77";"209,56";"13,27";"-0,19"
"11/03/2020 07:56:45";"01";"60";"211,17";"22,1";"1";"211";"17,52";"0,77";"209,67";"13,25";"-0,19"
"11/03/2020 07:56:50";"01";"60";"211";"22,05";"1";"210,96";"17,55";"0,77";"209,67";"13,25";"-0,19"
"11/03/2020 07:56:55";"01";"60";"211,32";"22,02";"1";"210,84";"17,55";"0,77";"209,73";"13,25";"-0,2"
"11/03/2020 07:57:00";"01";"60";"211,7";"22";"1";"210,84";"17,52";"0,77";"209,78";"13,22";"-0,19"
"11/03/2020 07:57:05";"01";"60";"211,67";"21,97";"1";"210,87";"17,52";"0,77";"209,81";"13,22";"-0,19"
"11/03/2020 07:57:10";"01";"60";"211,82";"21,97";"1";"210,89";"17,52";"0,77";"209,85";"13,22";"-0,19"
"11/03/2020 07:57:15";"01";"60";"211,85";"21,95";"1";"210,92";"17,47";"0,78";"209,95";"13,12";"-0,19"
"11/03/2020 07:57:20";"01";"60";"211,84";"21,92";"1";"210,92";"17,45";"0,77";"209,92";"13,07";"-0,2"
"11/03/2020 07:57:25";"01";"60";"211,85";"21,92";"1";"211";"17,42";"0,77";"209,96";"13,07";"-0,2"
"11/03/2020 07:57:30";"01";"60";"211,85";"21,9";"1";"210,75";"17,4";"0,77";"209,84";"13,05";"-0,2"
"11/03/2020 07:57:35";"01";"60";"211,81";"21,9";"1";"210,34";"17,4";"0,77";"209,64";"13,05";"-0,2"
"11/03/2020 07:57:40";"01";"60";"211,87";"21,9";"1";"210,12";"17,37";"0,77";"209,67";"13,02";"-0,2"
"11/03/2020 07:57:45";"01";"60";"211,89";"21,85";"1";"210,14";"17,37";"0,77";"209,78";"13,02";"-0,2"
"11/03/2020 07:57:50";"01";"60";"211,85";"21,82";"1";"210,12";"17,32";"0,77";"209,71";"13";"-0,2"
"11/03/2020 07:57:55";"01";"60";"212,07";"21,85";"1";"209,23";"17,32";"0,77";"209,96";"12,97";"-0,2"
"11/03/2020 07:58:00";"01";"60";"211,96";"21,8";"1";"209,46";"17,35";"0,77";"209,78";"12,97";"-0,2"
"11/03/2020 07:58:05";"01";"59,8";"211,89";"21,77";"1";"209,35";"17,32";"0,77";"209,7";"13,02";"-0,2"
"11/03/2020 07:58:10";"01";"59,8";"210,92";"32,7";"0,96";"208,46";"27,9";"0,83";"208,95";"24,77";"-0,13"
"11/03/2020 07:58:15";"01";"59,8";"210,87";"34,12";"0,96";"208,35";"29,52";"0,83";"208,78";"26,65";"-0,13"
"11/03/2020 07:58:20";"01";"59,8";"210,81";"33,67";"0,97";"208,39";"29,42";"0,83";"208,85";"26,25";"-0,13"
"11/03/2020 07:58:25";"01";"60";"210,82";"32,97";"0,97";"208,67";"29,2";"0,84";"208,64";"25,77";"-0,13"
"11/03/2020 07:58:30";"01";"60";"210,92";"32,6";"0,97";"209,28";"28,9";"0,84";"208,73";"25,47";"-0,13"
"11/03/2020 07:58:35";"01";"60";"211";"32,37";"0,96";"209,32";"28,67";"0,84";"208,78";"25,22";"-0,12"
"11/03/2020 07:58:40";"01";"60";"210,95";"32,07";"0,96";"209,34";"28,4";"0,84";"208,67";"24,9";"-0,12"
"11/03/2020 07:58:45";"01";"60";"210,92";"31,92";"0,96";"209,25";"28,2";"0,84";"208,67";"24,75";"-0,12"
"11/03/2020 07:58:50";"01";"60";"210,92";"31,72";"0,96";"209,21";"28,05";"0,85";"208,6";"24,52";"-0,11"
"11/03/2020 07:58:55";"01";"59,8";"210,92";"31,47";"0,96";"209,21";"27,8";"0,85";"208,67";"24,25";"-0,11"
"11/03/2020 07:59:00";"01";"60";"211,37";"31,42";"0,96";"209,14";"27,72";"0,85";"208,67";"24,12";"-0,11"
"11/03/2020 07:59:05";"01";"59,8";"211,48";"31,17";"0,96";"209,14";"27,42";"0,85";"208,62";"23,75";"-0,1"
"11/03/2020 07:59:10";"01";"59,8";"211,73";"28,7";"0,97";"209,2";"25,62";"0,82";"208,82";"22,07";"-0,16"
