"Data";"Ocorrência";"Freqüência";"Tensão R";"Corrente R";"Fat Pot R";"Tensão S";"Corrente S";"Fat Pot S";"Tensão T";"Corrente T";"Fat Pot T"
"09/03/2020 07:39:12";"26";"60";"215,89";"26,7";"-0,96";"214,87";"20,85";"-0,98";"214,82";"15,8";"-0,99"
"09/03/2020 07:39:30";"01";"60";"216,1";"63,95";"-0,95";"214,89";"51,85";"-0,98";"214,89";"40,95";"1"
"09/03/2020 07:39:35";"01";"60";"216,1";"63,25";"-0,95";"214,98";"51,65";"-0,98";"214,82";"40,85";"1"
"09/03/2020 07:39:40";"01";"60";"216,14";"63,25";"-0,96";"214,84";"51,6";"-0,98";"214,82";"40,9";"-0,99"
"09/03/2020 07:39:45";"01";"60";"216,1";"67";"-0,95";"214,81";"54,05";"-0,97";"214,75";"43,15";"-0,99"
"09/03/2020 07:39:50";"01";"60";"215,98";"68,85";"-0,95";"214,71";"55,25";"-0,97";"214,64";"44,3";"-0,99"
"09/03/2020 07:39:55";"01";"60";"216,03";"68,45";"-0,95";"214,89";"55,1";"-0,97";"214,75";"44,15";"-0,99"
"09/03/2020 07:40:00";"01";"59,8";"216,09";"67,95";"-0,95";"215";"54,95";"-0,97";"214,85";"44";"-0,99"
"09/03/2020 07:40:05";"01";"60";"216,2";"67,45";"-0,95";"214,92";"54,85";"-0,97";"214,84";"43,8";"-0,99"
"09/03/2020 07:40:10";"01";"60";"216,03";"73,3";"-0,95";"214,98";"54,9";"-0,97";"214,84";"43,7";"-0,99"
"09/03/2020 07:40:15";"01";"60";"215,95";"73,55";"-0,95";"214,92";"54,9";"-0,97";"214,81";"43,55";"-0,99"
"09/03/2020 07:40:20";"01";"60";"216";"73,7";"-0,95";"214,98";"54,85";"-0,97";"214,92";"43,55";"-0,99"
"09/03/2020 07:40:25";"01";"59,8";"216,03";"73,7";"-0,95";"215,03";"54,65";"-0,97";"214,95";"43,45";"-0,99"
"09/03/2020 07:40:30";"01";"60";"216,1";"72,05";"-0,95";"215,09";"54,45";"-0,97";"215,03";"43,35";"-0,99"
"09/03/2020 07:40:35";"01";"60";"216,21";"70,2";"-0,96";"215,17";"54,3";"-0,97";"215";"43,25";"-0,99"
"09/03/2020 07:40:40";"01";"60";"216,17";"70,15";"-0,96";"215,06";"54,1";"-0,97";"214,96";"43,15";"-0,99"
"09/03/2020 07:40:45";"01";"60";"216,14";"68,55";"-0,96";"214,71";"57,05";"-0,97";"214,78";"43,2";"-0,99"
"09/03/2020 07:40:50";"01";"60";"216,07";"69,25";"-0,96";"214,71";"57,3";"-0,97";"214,75";"43,1";"-0,99"
